model,short,mae,rmse,r2,size_kb,infer_ms,mcu_viable,train_time_s,size_note
Linear Regression,LinReg,2.294671589946831,5.135174370639538,0.02600631091123129,0.0390625,0.7612500012328383,True,0.03098360000149114,~9 floats × 4B = trivial (<1 KB)
Ridge Regression,Ridge,2.295509948184653,5.135927636054601,0.02572054473543317,0.0390625,0.754249998863088,True,0.05141429999639513,~9 floats × 4B = trivial (<1 KB)
Lasso Regression,Lasso,2.57104766760152,5.367036359927851,-0.06393434254327479,0.0390625,0.72080000245478,True,0.1758161999969161,"Sparse coefficients, <1 KB"
Decision Tree (depth=3),DT-3,2.5738366004841526,5.376740858878723,-0.06778536334340224,0.5859375,0.5293499998515472,True,0.14814560000377242,Max 15 nodes × 40B ~ 0.6 KB
Decision Tree (depth=5),DT-5,2.5622320647185464,5.428513526184513,-0.08844778827082345,2.4609375,0.6761500007996801,True,0.21609560000069905,Max 63 nodes × 40B ~ 2.5 KB
Decision Tree (depth=8),DT-8,2.498445770482724,5.345431298138785,-0.05538582535828307,19.6484375,0.5034499990870245,True,0.3581952000022284,Max 511 nodes × 40B ~ 20 KB → fits 48KB RAM
Decision Tree (depth=10),DT-10,2.589676951364297,5.398563695021413,-0.07647069682648455,74.1796875,2.3174000052677,False,0.46211240000411635,Max 2047 nodes × 40B ~ 80 KB → exceeds 48KB RAM
Random Forest (100 trees),RF-100,2.57203896918135,5.397642290970546,-0.07610327324009947,1905.0,40.3693000007479,False,2.465953200000513,100 × 20KB = 2000 KB → far exceeds MCU RAM
k-NN (k=5),kNN-5,2.6105401112,5.3044071121712335,-0.03924860449187273,3515.625,38.83944999688538,False,0.24843580000015208,Stores all training points → 100K × 9 × 4B = 3.6 MB
