k,silhouette,davies_bouldin,intra_temp_var,size_std,size_min,size_max,n_coherence_fixed
2,0.3266960481015604,1.1384942930659263,12.956312579041855,12.0,15,39,0
3,0.31720705191555437,1.0872310800943656,10.984524078926041,2.449489742783178,15,21,0
4,0.2980781317088481,1.1164520200261046,10.50364563347921,2.29128784747792,10,16,3
5,0.318630628704667,0.9923097499731839,10.41602023797672,2.1354156504062622,7,13,2
6,0.2905693873995409,1.0943835268447732,10.89878863772291,2.516611478423583,7,13,0
7,0.2928066278260446,1.022889260428701,11.573414949611339,3.325841921949376,3,13,0
8,0.281588950514509,0.9328217456184243,12.79567124965834,2.947456530637899,1,12,0
